_time,_value
2023-03-10T07:18:27.477610554Z,0.8118
2023-03-10T07:18:28.593738585Z,0.8101
2023-03-10T07:18:29.707425461Z,0.8124
2023-03-10T07:18:30.823974575Z,0.7847
2023-03-10T07:18:31.935923028Z,0.7908
2023-03-10T07:18:33.051082123Z,0.7772
2023-03-10T07:18:34.165525909Z,0.7766
2023-03-10T07:18:35.282341026Z,0.7798
2023-03-10T07:18:36.395405636Z,0.7859
2023-03-10T07:18:37.515236197Z,0.844
2023-03-10T07:18:38.625538145Z,0.8116
2023-03-10T07:18:39.740642935Z,0.8181
2023-03-10T07:18:40.855668251Z,0.8117
2023-03-10T07:18:42.009476927Z,0.8106
2023-03-10T07:18:43.109304863Z,0.8156
2023-03-10T07:18:44.200155911Z,0.8147
2023-03-10T07:18:45.315135037Z,0.8277
2023-03-10T07:18:46.430400866Z,0.8383
2023-03-10T07:18:47.549263338Z,0.8363
2023-03-10T07:18:48.663468854Z,0.8218
2023-03-10T07:18:49.77844228Z,0.8089
2023-03-10T07:18:50.896416441Z,0.8357
2023-03-10T07:18:52.016207261Z,0.8177
2023-03-10T07:18:53.121146459Z,0.8437
2023-03-10T07:18:54.236070078Z,0.8183
2023-03-10T07:18:55.35207631Z,0.8138
2023-03-10T07:18:56.465694612Z,0.8228
2023-03-10T07:18:57.580810233Z,0.8338
2023-03-10T07:18:58.698597387Z,0.8134
2023-03-10T07:18:59.810536776Z,0.8157
2023-03-10T07:19:00.926588642Z,0.8122
2023-03-10T07:19:02.041733798Z,0.8199
2023-03-10T07:19:03.156976554Z,0.8269
2023-03-10T07:19:04.271711004Z,0.8076
2023-03-10T07:19:05.388084274Z,0.8598
2023-03-10T07:19:06.501567909Z,0.8215
2023-03-10T07:19:07.616485362Z,0.8173
2023-03-10T07:19:08.733996259Z,0.8128
2023-03-10T07:19:09.846440694Z,0.8458
2023-03-10T07:19:10.964466997Z,0.8337
2023-03-10T07:19:12.078740055Z,0.7956
2023-03-10T07:19:13.192551907Z,0.7925
2023-03-10T07:19:14.305940453Z,0.7792
2023-03-10T07:19:15.426562288Z,0.7887
2023-03-10T07:19:16.538683009Z,0.8701
2023-03-10T07:19:17.653615463Z,0.8214
2023-03-10T07:19:18.770310437Z,0.8142
2023-03-10T07:19:19.881408944Z,0.8212
2023-03-10T07:19:20.997656714Z,0.8143
2023-03-10T07:19:22.12187888Z,0.8242
2023-03-10T07:19:23.228713635Z,0.8099
2023-03-10T07:19:24.344941819Z,0.8054
2023-03-10T07:19:25.457684134Z,0.8129
2023-03-10T07:19:26.576615127Z,0.8196
2023-03-10T07:19:27.69233528Z,0.818
2023-03-10T07:19:28.804555889Z,0.8162
2023-03-10T07:19:29.916828098Z,0.8208
2023-03-10T07:19:31.034448175Z,0.8071
2023-03-10T07:19:32.147844689Z,0.8297
2023-03-10T07:19:33.262471071Z,0.862
2023-03-10T07:19:34.397607302Z,0.8505
2023-03-10T07:19:35.492724946Z,0.8615
2023-03-10T07:19:36.607321027Z,0.8196
2023-03-10T07:19:37.725049346Z,0.8698
2023-03-10T07:19:38.837700904Z,0.854
2023-03-10T07:19:39.95310501Z,0.8387
2023-03-10T07:19:41.068879463Z,0.8106
2023-03-10T07:19:42.183368501Z,0.8196
2023-03-10T07:19:43.298319843Z,0.8208
2023-03-10T07:19:44.414035596Z,0.8121
2023-03-10T07:19:45.52828383Z,0.8111
2023-03-10T07:19:46.645121596Z,0.8272
2023-03-10T07:19:47.760216332Z,0.8188
2023-03-10T07:19:48.875232074Z,0.8626
2023-03-10T07:19:50.004076384Z,0.8639
2023-03-10T07:19:51.159036612Z,0.839
2023-03-10T07:19:52.263362924Z,0.8224
2023-03-10T07:19:53.333330119Z,0.8197
2023-03-10T07:19:54.449682878Z,0.8073
2023-03-10T07:19:55.571522803Z,0.8123
2023-03-10T07:19:56.678224304Z,0.8184
2023-03-10T07:19:57.795311772Z,0.8158
2023-03-10T07:19:58.92354367Z,0.8163
2023-03-10T07:20:00.022652929Z,0.8529
